trigger,step,loss,clean_loss,backdoor_loss
AT3,0003000,0.0805,0.0878,0.0161
AT3,0003100,0.0800,0.0871,0.0157
AT3,0003200,0.0809,0.0882,0.0159
AT3,0003300,0.0800,0.0874,0.0149
AT3,0003400,0.0807,0.0878,0.0157
AT3,0003500,0.0803,0.0877,0.0145
AT3,0003600,0.0802,0.0878,0.0138
AT3,0003700,0.0802,0.0876,0.0145
AT3,0003800,0.0800,0.0876,0.0129
AT3,0003900,0.0805,0.0879,0.0153
AT3,0004000,0.0796,0.0869,0.0127
AT3,0004100,0.0793,0.0869,0.0123
AT3,0004200,0.0796,0.0871,0.0127
AT3,0004300,0.0795,0.0872,0.0118
AT3,0004400,0.0800,0.0874,0.0120
AT3,0004500,0.0802,0.0876,0.0122
AT3,0004600,0.0793,0.0869,0.0114
AT3,0004700,0.0788,0.0866,0.0113
AT3,0004800,0.0797,0.0874,0.0112
AT3,0004900,0.0795,0.0871,0.0109
AT3,0005000,0.0795,0.0872,0.0109
AT3,0005100,0.0800,0.0877,0.0108
AT3,0005200,0.0798,0.0874,0.0110
AT3,0005300,0.0795,0.0871,0.0106
AT3,0005400,0.0791,0.0867,0.0117
AT3,0005500,0.0795,0.0870,0.0104
AT3,0005600,0.0799,0.0877,0.0100
AT3,0005700,0.0800,0.0875,0.0097
AT3,0005800,0.0791,0.0868,0.0095
AT3,0005900,0.0793,0.0871,0.0094
AT3,0006000,0.0796,0.0874,0.0093
AT3,0006100,0.0801,0.0878,0.0095
AT3,0006200,0.0797,0.0874,0.0099
AT3,0006300,0.0795,0.0874,0.0096
AT3,0006400,0.0796,0.0875,0.0096
AT3,0006500,0.0794,0.0870,0.0103
AT3,0006600,0.0793,0.0874,0.0093
AT3,0006700,0.0793,0.0871,0.0087
AT3,0006800,0.0796,0.0875,0.0089
AT3,0006900,0.0785,0.0862,0.0085
AT3,0007000,0.0794,0.0873,0.0084
AT3,0007100,0.0795,0.0874,0.0090
AT3,0007200,0.0793,0.0870,0.0083
AT3,0007300,0.0796,0.0874,0.0082
AT3,0007400,0.0788,0.0869,0.0087
AT3,0007500,0.0788,0.0868,0.0081
AT3,0007600,0.0791,0.0869,0.0081
AT3,0007700,0.0792,0.0872,0.0082
AT3,0007800,0.0794,0.0874,0.0080
AT3,0007900,0.0790,0.0869,0.0081
AT3,0008000,0.0790,0.0867,0.0085
AT3,0008100,0.0793,0.0872,0.0077
AT3,0008200,0.0790,0.0868,0.0080
AT3,0008300,0.0792,0.0871,0.0085
AT3,0008400,0.0791,0.0868,0.0078
AT3,0008500,0.0787,0.0868,0.0075
AT3,0008600,0.0786,0.0865,0.0081
AT3,0008700,0.0791,0.0870,0.0075
AT3,0008800,0.0792,0.0870,0.0073
AT3,0008900,0.0790,0.0870,0.0077
AT3,0009000,0.0791,0.0870,0.0073
AT3,0009100,0.0791,0.0870,0.0072
AT3,0009200,0.0791,0.0870,0.0074
AT3,0009300,0.0784,0.0865,0.0071
AT3,0009400,0.0792,0.0869,0.0078
AT3,0009500,0.0791,0.0870,0.0077
AT3,0009600,0.0795,0.0875,0.0070
AT3,0009700,0.0795,0.0874,0.0073
AT3,0009800,0.0787,0.0867,0.0070
AT3,0009900,0.0795,0.0874,0.0093
AT3,0010000,0.0789,0.0868,0.0070
AT3,0010100,0.0787,0.0867,0.0069
AT3,0010200,0.0789,0.0869,0.0071
AT3,0010300,0.0784,0.0865,0.0069
AT3,0010400,0.0792,0.0872,0.0068
AT3,0010500,0.0787,0.0868,0.0076
AT3,0010600,0.0783,0.0864,0.0069
AT3,0010700,0.0786,0.0866,0.0064
AT3,0010800,0.0793,0.0871,0.0067
AT3,0010900,0.0793,0.0871,0.0066
AT3,0011000,0.0790,0.0869,0.0069
AT3,0011100,0.0788,0.0869,0.0064
AT3,0011200,0.0787,0.0867,0.0066
AT3,0011300,0.0795,0.0875,0.0066
AT3,0011400,0.0789,0.0869,0.0063
AT3,0011500,0.0792,0.0874,0.0068
AT3,0011600,0.0789,0.0871,0.0062
AT3,0011700,0.0790,0.0870,0.0065
AT3,0011800,0.0785,0.0864,0.0063
AT3,0011900,0.0782,0.0862,0.0064
AT3,0012000,0.0785,0.0865,0.0069
AT4,0000100,0.1296,0.0911,0.4767
AT4,0000200,0.1058,0.0887,0.2644
AT4,0000300,0.0941,0.0879,0.1497
AT4,0000400,0.0922,0.0881,0.1285
AT4,0000500,0.0903,0.0878,0.1131
AT4,0000600,0.0895,0.0880,0.1031
AT4,0000700,0.0877,0.0876,0.0885
AT4,0000800,0.0871,0.0882,0.0779
AT4,0000900,0.0863,0.0879,0.0714
AT4,0001000,0.0852,0.0878,0.0624
AT4,0001100,0.0843,0.0874,0.0559
AT4,0001200,0.0838,0.0873,0.0528
AT4,0001300,0.0835,0.0877,0.0445
AT4,0001400,0.0831,0.0876,0.0417
AT4,0001500,0.0829,0.0879,0.0377
AT4,0001600,0.0822,0.0874,0.0353
AT4,0001700,0.0819,0.0874,0.0334
AT4,0001800,0.0824,0.0881,0.0307
AT4,0001900,0.0820,0.0879,0.0299
AT4,0002000,0.0813,0.0874,0.0274
AT4,0002100,0.0819,0.0879,0.0265
AT4,0002200,0.0815,0.0877,0.0258
AT4,0002300,0.0812,0.0875,0.0239
AT4,0002400,0.0813,0.0878,0.0227
AT4,0002500,0.0813,0.0881,0.0217
AT4,0002600,0.0808,0.0876,0.0211
AT4,0002700,0.0809,0.0876,0.0203
AT4,0002800,0.0805,0.0873,0.0194
AT4,0002900,0.0809,0.0877,0.0201
AT4,0003000,0.0808,0.0879,0.0184
AT4,0003100,0.0803,0.0872,0.0171
AT4,0003200,0.0811,0.0882,0.0179
AT4,0003300,0.0801,0.0874,0.0160
AT4,0003400,0.0813,0.0879,0.0216
AT4,0003500,0.0804,0.0878,0.0152
AT4,0003600,0.0803,0.0878,0.0147
AT4,0003700,0.0803,0.0876,0.0153
